iter	Logloss
0	0.689813451
1	0.6853805442
2	0.681438454
3	0.6764011679
4	0.673258484
5	0.6694012407
6	0.6649488624
7	0.6609727967
8	0.6571670765
9	0.652173121
10	0.648564121
11	0.644108049
12	0.6410089447
13	0.6371345671
14	0.6329688829
15	0.6289572806
16	0.6247416085
17	0.6210852761
18	0.6177723609
19	0.6142839636
20	0.6109282489
21	0.6079612283
22	0.6042303105
23	0.6004909502
24	0.5971956972
25	0.5940750352
26	0.5912280223
27	0.5880261738
28	0.5847497288
29	0.5819719824
30	0.579373397
31	0.5761353025
32	0.5732164815
33	0.5706339152
34	0.5678757409
35	0.5649122834
36	0.5621685378
37	0.5593817005
38	0.5558845093
39	0.5525680692
40	0.5497470347
41	0.5470943885
42	0.5446403649
43	0.5425200743
44	0.5399538098
45	0.5371807626
46	0.5344856155
47	0.5320511346
48	0.5289444353
49	0.5262941203
50	0.5241107294
51	0.5211522022
52	0.5191383782
53	0.5168426181
54	0.5155022069
55	0.5130537678
56	0.5111309239
57	0.5087535775
58	0.5069312565
59	0.5049585654
60	0.5027836563
61	0.5005911741
62	0.4978904186
63	0.4962401112
64	0.4942131375
65	0.492080223
66	0.4897702284
67	0.4874401185
68	0.4844862034
69	0.482850962
70	0.4813667075
71	0.4791527092
72	0.4771821109
73	0.4747954823
74	0.4731817499
75	0.4708898214
76	0.4695232504
77	0.4672788654
78	0.4655691818
79	0.4644282115
80	0.4625027197
81	0.4604923543
82	0.4588052152
83	0.4576785103
84	0.456493592
85	0.4546904332
86	0.4529965544
87	0.451219156
88	0.4501109683
89	0.4486999935
90	0.4471786831
91	0.4456804259
92	0.443781441
93	0.4422439586
94	0.4407045823
95	0.4397316272
96	0.4380925912
97	0.4361717699
98	0.4350339448
99	0.4337648528
100	0.4320764635
101	0.430997353
102	0.4303428258
103	0.4287054523
104	0.4274999726
105	0.4258044478
106	0.424095502
107	0.4229701709
108	0.4215208463
109	0.4204789484
110	0.4192747973
111	0.4183578183
112	0.4170166069
113	0.416073726
114	0.4146412797
115	0.4135008305
116	0.4122690505
117	0.4107209545
118	0.4093282425
119	0.4085449092
