iter	Passed	Remaining
0	47	47205
1	47	23918
2	48	16242
3	49	12287
4	49	9912
5	50	8322
6	50	7185
7	51	6338
8	52	5759
9	53	5329
10	54	4927
11	56	4615
12	57	4352
13	58	4126
14	59	3935
15	60	3719
16	60	3527
17	61	3348
18	61	3193
19	62	3076
20	64	2987
21	65	2903
22	66	2823
23	67	2748
24	68	2678
25	69	2612
26	70	2553
27	71	2498
28	73	2447
29	74	2399
30	75	2354
31	75	2289
32	76	2232
33	76	2178
34	77	2126
35	77	2077
36	77	2027
37	78	1983
38	78	1941
39	79	1901
40	79	1863
41	80	1825
42	80	1797
43	81	1775
44	82	1747
45	83	1725
46	84	1705
47	85	1686
48	85	1667
49	86	1648
50	87	1630
51	88	1612
52	89	1595
53	90	1578
54	90	1555
55	91	1534
56	91	1513
57	91	1493
58	92	1473
59	92	1453
60	93	1435
61	93	1417
62	94	1399
63	94	1380
64	94	1365
65	95	1350
66	96	1339
67	96	1328
68	97	1317
69	98	1306
70	98	1293
71	99	1283
72	100	1273
73	100	1263
74	101	1254
75	102	1245
76	102	1234
77	103	1225
78	104	1216
79	104	1206
80	105	1196
81	105	1186
82	106	1175
83	106	1165
84	107	1154
85	107	1144
86	108	1134
87	108	1125
88	108	1115
89	109	1106
90	109	1097
91	110	1088
92	110	1079
93	111	1071
94	111	1062
95	111	1054
96	112	1046
97	112	1038
98	113	1028
99	113	1021
100	114	1014
101	114	1008
102	114	1000
103	115	995
104	116	989
105	116	984
106	117	979
107	117	973
108	118	968
109	118	961
110	119	955
111	119	951
112	120	945
113	120	939
114	121	934
115	121	928
116	122	923
117	122	917
118	123	912
119	123	906
120	124	901
121	124	896
122	124	890
123	125	884
124	125	879
125	126	874
126	126	870
127	127	865
128	127	860
129	127	856
130	128	851
131	128	847
132	129	843
133	129	839
134	130	835
135	130	831
136	131	827
137	131	823
138	132	819
139	132	815
140	133	811
141	133	807
142	134	803
143	134	799
144	135	796
145	135	792
146	135	788
147	136	784
148	136	781
149	137	777
150	137	774
151	138	771
152	138	767
153	139	764
154	139	761
155	140	758
156	140	755
157	141	752
158	141	748
159	142	745
160	142	742
161	143	739
162	143	736
163	143	733
164	144	730
165	144	727
166	145	724
167	145	721
168	146	719
169	146	716
170	147	713
171	147	710
172	147	707
173	148	704
174	148	701
175	149	698
176	149	696
177	150	693
178	150	690
179	151	688
180	151	685
181	151	682
182	152	680
183	152	677
184	153	675
185	153	672
186	154	670
187	154	668
188	155	666
189	155	663
190	156	661
191	156	659
192	157	656
193	157	654
194	157	651
195	158	649
196	158	646
197	159	644
198	159	642
199	160	640
200	160	637
201	160	635
202	161	633
203	161	630
204	162	628
205	162	626
206	162	624
207	163	622
208	163	620
209	164	618
210	164	615
211	165	613
212	165	611
213	165	609
214	166	607
215	166	605
216	167	603
217	167	601
218	168	600
219	168	598
220	169	596
221	169	593
222	169	591
223	170	589
224	170	587
225	171	585
226	171	583
227	171	582
228	172	580
229	172	578
230	173	576
231	173	575
232	174	573
233	174	571
234	175	570
235	175	568
236	176	566
237	176	565
238	177	563
239	177	562
240	177	560
241	178	558
242	178	557
243	179	555
244	179	554
245	180	552
246	180	550
247	181	549
248	181	547
249	182	546
250	182	544
251	182	542
252	182	540
253	183	538
254	183	536
255	184	534
256	184	534
257	185	533
258	185	531
259	186	530
260	186	528
261	186	526
262	187	525
263	187	523
264	188	522
265	188	520
266	189	519
267	189	517
268	189	516
269	190	514
270	190	512
271	191	511
272	191	509
273	191	508
274	192	507
275	192	505
276	193	504
277	193	503
278	194	501
279	194	500
280	195	499
281	195	497
282	195	495
283	196	494
284	196	493
285	197	491
286	197	490
287	197	488
288	198	487
289	198	486
290	198	484
291	199	483
292	199	481
293	200	480
294	200	479
295	200	478
296	201	476
297	201	475
298	202	474
299	202	472
300	203	471
301	203	470
302	203	468
303	204	467
304	204	466
305	205	465
306	205	464
307	206	463
308	206	462
309	207	461
310	207	460
311	208	459
312	208	458
313	209	457
314	209	456
315	210	455
316	210	454
317	211	453
318	211	451
319	212	450
320	212	449
321	212	448
322	213	447
323	213	446
324	214	445
325	214	444
326	215	442
327	215	441
328	216	440
329	216	439
330	216	438
331	217	437
332	217	436
333	218	434
334	218	433
335	218	432
336	219	431
337	219	430
338	220	429
339	220	428
340	221	427
341	221	425
342	221	424
343	222	423
344	222	422
345	223	421
346	223	420
347	223	419
348	224	418
349	224	417
350	225	416
351	225	415
352	226	414
353	226	413
354	226	412
355	227	411
356	227	410
357	228	409
358	228	408
359	228	407
360	229	405
361	229	404
362	230	403
363	230	402
364	231	401
365	231	400
366	231	399
367	232	398
368	232	397
369	233	397
370	233	396
371	234	395
372	234	394
373	235	393
374	235	393
375	236	392
376	236	391
377	237	390
378	237	389
379	238	388
380	238	387
381	239	386
382	239	385
383	239	384
384	240	383
385	240	382
386	241	382
387	241	381
388	242	380
389	242	379
390	243	378
391	243	377
392	243	376
393	244	375
394	244	375
395	245	374
396	245	373
397	246	372
398	246	371
399	247	370
400	247	369
401	248	368
402	248	368
403	248	367
404	249	366
405	249	365
406	250	364
407	250	363
408	251	363
409	251	362
410	252	361
411	252	360
412	252	359
413	253	358
414	253	357
415	254	357
416	254	356
417	255	355
418	255	354
419	256	353
420	256	352
421	257	352
422	257	351
423	257	350
424	258	349
425	258	348
426	259	348
